,PC2
Hcst,0.081958158
Cd52,0.074435454
Cxcr6,0.074156735
Il2rb,0.074034862
Cd3e,0.069542844
Fasl,0.069181103
F2r,0.068928304
Cd226,0.067834057
Sh2d2a,0.067444136
Icos,0.066811262
Ctsw,0.066043365
Sema4a,0.065291328
Cd3d,0.064625593
Gimap4,0.064022189
Itgal,0.063943084
Psmb3,0.063858795
Il18rap,0.063816625
Gpr68,0.063800355
Tbx21,0.062862592
Rpl36,0.062743081
Lfng,0.06241197
Zap70,0.061749626
Skap1,0.061678468
Bcl2a1d,0.061560374
Id2,0.061204897
Lpcat4,0.060983783
Tufm,0.06090264
Apeh,0.06073764
F2rl2,0.060714473
S100a10,0.060686784
Cd3g,0.060650276
Tnfsf14,0.060414314
Crot,0.06037356
Ly9,0.059841131
Sit1,0.059837573
Ptpn22,0.059814539
Ltb,0.05978303
Lax1,0.059571208
Nkg7,0.059298938
Gab3,0.059190777
Itgb7,0.059165293
Il18r1,0.059090075
Pigs,0.059080015
Dok2,0.059050988
Pea15a,0.058839361
Nfatc2,0.058779337
Rps21,0.058495983
Lck,0.058250355
Akna,0.058151613
Cox6a1,0.057692301
Nudt16l1,0.057565861
Ube2g2,0.057527169
Mppe1,0.057218141
Cd40lg,0.057133639
Aph1a,0.057081059
Lat,0.056745323
Gimap1,0.056424509
Ptpn18,0.056010462
Plaat3,0.055628159
Il7r,0.055535002
S1pr4,0.055268129
Tnfrsf25,0.055251699
Arhgef3,0.055189958
Slc1a5,0.054800135
Prex1,0.054793975
Traf1,0.054709563
Nlrc3,0.054645082
Psmb10,0.054447423
Txk,0.054042396
Tpt1,0.054040887
Rab1b,0.05400627
Nbeal2,0.053950677
Rab4a,0.053880004
Cd96,0.053850587
Ikzf3,0.053781489
Zyx,0.053765961
Zfp574,0.053752477
Tmem154,0.053584481
Gnptg,0.053494247
Aqp3,0.053460593
Il12rb1,0.053442013
Stat4,0.053331266
Ccnd3,0.053078743
Atg4b,0.052972653
Vsir,0.052691471
Aopep,0.052677752
Fam102a,0.052350248
Lpxn,0.052267123
Idnk,0.052056491
Supt5,0.051970576
Zfp511,0.051930478
Retreg3,0.051829174
Traf3ip2,0.051606134
Abcb1a,0.051553111
Rassf5,0.051519877
S100a11,0.051319514
Adgre5,0.050641008
Josd2,0.050617428
Sipa1,0.050233657
Phc3,0.050165705
Runx3,0.05014423
Nfatc3,0.050134295
Bin2,0.050017638
Rora,0.049853091
Shkbp1,0.049778124
Slc20a1,0.049757555
Cst7,0.04952727
Rcbtb2,0.049500157
Krtcap2,0.049491283
Cd28,0.049389115
Stk10,0.049359538
Sap130,0.049323802
Notch1,0.049252258
Serpinb6b,0.049210082
S100a6,0.049028845
Phf1,0.048989351
Arhgap9,0.048908645
Itk,0.048745491
Ankrd54,0.048652413
Lyst,0.04852996
Cd2,0.048415145
Il27ra,0.048405706
Tecpr1,0.048316524
Camk4,0.048247969
Skiv2l,0.048154325
Frmd8,0.048134415
Arl4c,0.048004806
Peak1,0.047982301
Cxxc1,0.047796385
Orai2,0.047612979
Serpinb9,0.047588462
Eml3,0.04742551
Usp36,0.047365112
Sh2b1,0.047324208
Jak3,0.047183551
Plcg1,0.047071126
D16Ertd472e,0.047002242
Cyba,0.046949931
Cox6b1,0.046688966
Pfkp,0.046643694
Adcy7,0.046591222
Cd6,0.046554223
Gimap6,0.046417928
Tyk2,0.046347136
Atp6v1f,0.046322516
Abhd16a,0.046136969
Aak1,0.046121529
Cox8a,0.045981947
Mical1,0.045937932
Rangap1,0.045923445
Sgf29,0.045896939
Gimap7,0.045881471
Prkcq,0.045849439
Evl,0.045756775
Pgk1,0.045659697
Flad1,0.045577819
Rnf125,0.045545868
Gimap8,0.045456127
Myo1f,0.045346218
Rfx1,0.045306825
Tnfrsf18,0.045244604
Epsti1,0.045232137
Zbp1,0.045134098
Nlrc5,0.045006919
Map3k4,0.044927489
Pced1b,0.044846401
Entpd6,0.044744309
Rhoc,0.044694168
Ifng,0.044607607
Vopp1,0.044578446
Lgals1,0.044529006
Hdac1,0.044444557
Atp2b1,0.044359163
Tspo,0.044311492
Kif21b,0.043885882
Smad3,0.043837359
Apbb1ip,0.043739586
Psmf1,0.043330716
Antxr2,0.043311809
Gramd3,0.043264596
Tmc6,0.042851695
Gramd1a,0.042813597
Card11,0.042784251
Ebp,0.042709996
Gcn1,0.042697508
Agpat3,0.042690254
Sun2,0.0426767
Tsr3,0.042674694
Itpkb,0.042578286
Smdt1,0.042468152
Tmub1,0.042453649
Ahnak,0.042376543
Atp6v0a2,0.042315171
Rasal3,0.042273987
Mgat4a,0.042226859
Gata3,0.042165265
Lamtor1,0.042079666
Tasp1,0.04196912
Dnajc15,0.041946318
Irf1,0.04178225
Slfn2,0.041776519
Asb6,0.041640152
Zdhhc4,0.041470294
Pfdn1,0.041421594
Tnfrsf1b,0.041321769
Ets1,0.04117264
Irf7,0.040907442
Slc9a3r1,0.040871123
Ndufa11,0.040744968
Adi1,0.04069611
Trim14,0.040668931
Osbpl3,0.040636592
Tk2,0.040542408
Snx14,0.040538109
Ptpn7,0.040492821
Ndufaf8,0.040445245
Aurkaip1,0.040434909
Neu1,0.040362369
Atp2a3,0.040334822
Ap1b1,0.040256164
Tbc1d10c,0.040220765
Batf,0.039789022
Slc9a9,0.039765058
Utrn,0.039743359
Slc25a5,0.039568237
Dennd2d,0.039505632
Cd2bp2,0.039473168
Camk2g,0.039453072
Sntb1,0.039443841
Arhgap26,0.039430558
Rabac1,0.039344457
Cd247,0.039306714
Zadh2,0.039297592
Pik3r5,0.039240684
Stat1,0.039221969
Ccnd2,0.039183443
Psmb9,0.038813414
Crybg1,0.038802166
Il2ra,0.038726997
Grap2,0.038637676
Ptpn13,0.038528464
Fyn,0.038512829
Limd2,0.038467733
Atp13a1,0.03843286
Capn2,0.038418039
Itpr2,0.0381362
Fbxw5,0.038037691
Atp2b4,0.038017172
Lpar6,0.037949518
Ttc39b,0.0377684
Sfxn3,0.037574694
S100a4,0.037546821
Sla,0.037454078
Ifngr1,0.037436096
Ablim1,0.037379331
Pld3,0.037337585
Gpi1,0.037162273
Icam1,0.03710986
Trpv2,0.037019207
Sytl3,0.036974003
Mfn2,0.036947095
Chd7,0.036767658
Sorl1,0.036590489
Tfip11,0.036469291
Txnrd1,0.036457674
Inpp4b,0.036322866
Itm2c,0.036291743
Snx17,0.036210438
Nr1d1,0.036162322
Prkch,0.035812047
Uqcr11,0.035725462
E4f1,0.035526619
Ccdc88c,0.034916915
Relb,0.034858172
Pim2,0.03476517
Ranbp3,0.034575697
Gps1,0.034536233
Gpr108,0.034496678
Actr1b,0.034482253
Anapc13,0.034390401
Trabd,0.034317146
Rce1,0.03424568
Sesn3,0.034178167
Chd3,0.034167855
Pde3b,0.034140501
Sphk2,0.034101597
Il21r,0.034065769
2310039H08Rik,0.033742986
AI467606,0.033730542
Cd27,0.033499721
Emp1,0.03348112
Sesn1,0.033251346
Uba7,0.033013379
Cant1,0.032922109
Bcl11b,0.032855473
Leng8,0.032754889
Elof1,0.032285049
Ubc,0.032091755
Gba,0.032066435
Traf3ip3,0.032007826
Gne,0.031723691
Mapre2,0.03164302
Lgals3,0.031621146
Zfp652,0.031442679
Rasgrp1,0.031308634
BC004004,0.031308374
Entpd5,0.031303073
Ptger4,0.03122292
Elovl1,0.030970084
Hmga1,0.030925699
Nubp2,0.030764237
Otulinl,0.030728272
Dnm2,0.030651807
Tnik,0.030550206
Smap2,0.030353985
Mfsd10,0.030322659
Sh3kbp1,0.030187394
Glipr2,0.030144568
Dusp2,0.030134516
Lmf2,0.030114052
Cdc42ep3,0.030014534
Satb1,0.029974205
Rgs1,0.029963722
Hgsnat,0.029802233
Tmem115,0.029797229
Cd44,0.029763732
Maz,0.029638063
Ptger2,0.029586969
Cirbp,0.029471008
Glrx,0.029447491
Abcf3,0.029410916
Dennd4a,0.029378201
Isg20,0.029252278
Pnpla2,0.029212172
Tnf,0.02916174
Il23r,0.029036223
Tnfrsf26,0.029025925
Traf3,0.028976239
Ikbke,0.028751519
Gle1,0.028624635
Nfkbid,0.028619116
Pdcd1,0.028590636
Atp10d,0.02849731
Ncstn,0.028349507
Bhlhe40,0.028323042
Ncf4,0.028185916
Pwwp3a,0.028168361
Klrg1,0.028033007
Plekho2,0.027991969
Fam53c,0.027902401
Gtf2i,0.027672996
Socs1,0.027665583
Ubl7,0.027591303
Smad7,0.027402768
4930523C07Rik,0.027225404
Acaa2,0.027050551
Rnf144a,0.027043699
Itgb1,0.027029893
Acd,0.026725615
Mpdu1,0.026468857
Hsf1,0.02609484
Dennd4c,0.026007881
Arfgap1,0.025931419
Hbegf,0.025651941
Atg2a,0.025649205
Nfkb2,0.025606278
Abtb1,0.025554428
Lta,0.025410305
Pag1,0.02536844
Scml4,0.025200851
Adam8,0.025119385
Gpr183,0.025118583
Sdf2,0.025018843
Anxa2,0.024913363
Prkd2,0.024891212
Wdfy1,0.024565588
Bcl2,0.024495775
Prkcsh,0.024287886
Tcf20,0.024278992
Tcof1,0.024086807
Tnfsf9,0.024010313
Crip1,0.02372966
Got1,0.023641086
Cited2,0.023609198
Thada,0.023605357
Nr1d2,0.023211459
Ufc1,0.023164706
Tcf7,0.02314791
Zbtb7a,0.023131856
Psmd3,0.023069766
Myd88,0.023015476
Bzw2,0.022982123
Dusp5,0.022965898
Crtc3,0.022925796
Arhgap18,0.022477001
Prdm1,0.022476035
Micu2,0.022437246
Rftn1,0.022390502
Asl,0.022324797
Pdia3,0.022317751
Dctn1,0.022227667
Nxf1,0.022067653
Ctsb,0.022024821
Tmem120a,0.021956729
Plekhb2,0.021678104
Lrrc8c,0.021576651
Bsdc1,0.021454221
Bin3,0.021293948
Cyb5r3,0.021237267
Znrf3,0.021116727
Atox1,0.021105292
Med25,0.02108469
Tbc1d9b,0.021038692
Zfp36l1,0.020850191
Slamf1,0.020662976
Tfe3,0.020595509
Gng2,0.020587581
Trappc3,0.020514933
Lrp10,0.020334378
Foxo3,0.0203238
Aplp2,0.020129835
Tatdn2,0.020039681
Zbtb17,0.02002169
Ppan,0.020008627
Map2k3,0.019938521
Synj2,0.019774514
Inpp5d,0.019417383
Myc,0.019408213
Trappc6a,0.01917778
Yif1a,0.019134449
Igf2r,0.018972935
Baiap2,0.018894714
Vps11,0.018845182
Atp1b3,0.018642821
Rapgef6,0.018484589
Tsc2,0.018437171
Slc25a39,0.018357292
Zdhhc7,0.018212164
Hmgb2,0.018134632
Wwp2,0.017924021
Iqsec1,0.017836472
Aagab,0.017809122
Hectd4,0.017658136
Slc35c2,0.017453742
Appl2,0.017447443
Nr4a3,0.017337976
Emb,0.017332272
Lmo4,0.017318051
Abca7,0.017304234
Rasa3,0.017170807
Cd69,0.017154098
Rbm38,0.017082664
Flna,0.016911292
Gosr1,0.016906675
Anxa1,0.01676365
Ripor2,0.01670013
Pxn,0.016322483
Madd,0.016312711
Gm5617,0.01622844
Tnfrsf9,0.016116833
Mau2,0.01602349
Pde4b,0.015994094
Cdk4,0.015958061
Furin,0.015440768
Rit1,0.015430932
Per1,0.015256597
Peli1,0.014916994
Dhx30,0.014509604
Stambpl1,0.014294881
Ier2,0.01417271
Gpr171,0.013730683
Map3k8,0.01358856
Cited4,0.013506616
Dhrs7,0.012951612
Mcrip1,0.01288982
Tnfsf8,0.012849721
Mcm6,0.012807627
Atxn1,0.012566505
Tbcc,0.012565516
Macf1,0.012452276
Errfi1,0.012338612
Ssr2,0.012259013
Elmo2,0.012248359
Plk3,0.012033365
Stx11,0.011609245
Ahcyl2,0.011368727
Esyt2,0.011127964
Tigit,0.010709357
Syngr2,0.010707251
Calm3,0.010681481
Rac1,0.010423353
Tm9sf4,0.010276557
Comt,0.010088664
Cd72,0.010070195
Sgk1,0.010009818
Sil1,0.009720962
Il17ra,0.009709182
Capg,0.00962481
Rilpl2,0.00961716
Tollip,0.009602697
Mgat5,0.009583371
Slc2a1,0.009542772
S1pr1,0.009370187
Tet3,0.009356404
Ehbp1l1,0.009306493
Junb,0.008774989
Dctn2,0.008765669
Mdfic,0.008713951
Coro7,0.008568459
Ifnar2,0.008366004
Irf4,0.00827296
Plec,0.007904272
Nde1,0.007895874
Pfkl,0.007832859
Cysltr1,0.00745748
Fosl2,0.007436367
Samhd1,0.007395225
Akap8l,0.007275348
Rnh1,0.007180858
Rictor,0.006988062
Mif4gd,0.006969832
Srpk1,0.006959678
Ppp1r16b,0.006916898
Add3,0.006868747
Creld2,0.006751374
Anxa7,0.00673326
Rnf145,0.006543675
Cytip,0.006494044
Evi2a,0.006419703
Ctla4,0.006338633
Iqgap2,0.00627846
Atad3a,0.006236321
Rasgrp2,0.006119627
Syvn1,0.006118995
Pim3,0.005802195
Rhoh,0.005540916
Ergic1,0.005464622
Tbc1d17,0.005386817
Ptpn11,0.005143861
Stap1,0.004893174
Klf3,0.004818927
Pak2,0.004785284
Dph5,0.004685727
Stk38,0.004604291
Vamp1,0.004169573
Maf,0.004126092
Tmem64,0.004094774
Socs3,0.00405337
Pih1d1,0.003811784
Leprot,0.003798096
Abhd14a,0.003287794
Slc25a1,0.003281928
Pmf1,0.003217702
Blmh,0.003115315
Kmt2a,0.002909625
Ccm2,0.002723629
Pik3cg,0.002699069
Fbxo34,0.002629188
Psap,0.002073954
Setx,0.001933311
Sdf2l1,0.00191364
Herpud1,0.001740537
Gypc,0.001687832
Birc6,0.001546087
Ptpre,0.001504604
Frmd4b,0.001363324
Carhsp1,0.001358672
H1f4,0.001225459
Nsd3,0.001083983
Mapkapk2,0.000965208
Vmp1,0.000866615
Txlna,0.000662503
Dut,0.000484458
Tpgs1,0.000276589
Csrp1,0.000211841
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,