,names,donor,population,population2
mouse-CD4-R1.hisat,mouse-CD4-R1.hisat,WT1,CD4,CD4
mouse-CD4-R3.hisat,mouse-CD4-R3.hisat,WT2,CD4,CD4
mouse-CD4-R5.hisat,mouse-CD4-R5.hisat,WT3,CD4,CD4
mouse-CD4-R7.hisat,mouse-CD4-R7.hisat,WT4,CD4,CD4
mouse-CD4-R9.hisat,mouse-CD4-R9.hisat,WT5,CD4,CD4
mouse-CbirDN-R10.hisat,mouse-CbirDN-R10.hisat,Cbir1,CbirDN,DN
mouse-CbirDN-R2.hisat,mouse-CbirDN-R2.hisat,Cbir2,CbirDN,DN
mouse-CbirDN-R4.hisat,mouse-CbirDN-R4.hisat,Cbir3,CbirDN,DN
mouse-CbirDN-R6.hisat,mouse-CbirDN-R6.hisat,Cbir4,CbirDN,DN
mouse-CbirDN-R8.hisat,mouse-CbirDN-R8.hisat,Cbir5,CbirDN,DN
mouse-DN-R1.hisat,mouse-DN-R1.hisat,WT1,wtDN,DN
mouse-DN-R3.hisat,mouse-DN-R3.hisat,WT2,wtDN,DN
mouse-DN-R5.hisat,mouse-DN-R5.hisat,WT3,wtDN,DN
mouse-DN-R7.hisat,mouse-DN-R7.hisat,WT4,wtDN,DN
mouse-DN-R9.hisat,mouse-DN-R9.hisat,WT5,wtDN,DN
mouse-MAIT-R1.hisat,mouse-MAIT-R1.hisat,WT1,MAIT,MAIT
mouse-MAIT-R3.hisat,mouse-MAIT-R3.hisat,WT2,MAIT,MAIT
mouse-MAIT-R5.hisat,mouse-MAIT-R5.hisat,WT3,MAIT,MAIT
mouse-MAIT-R7.hisat,mouse-MAIT-R7.hisat,WT4,MAIT,MAIT
mouse-MAIT-R9.hisat,mouse-MAIT-R9.hisat,WT5,MAIT,MAIT
mouse-NKT-R1.hisat,mouse-NKT-R1.hisat,WT1,iNKT,iNKT
mouse-NKT-R3.hisat,mouse-NKT-R3.hisat,WT2,iNKT,iNKT
mouse-NKT-R5.hisat,mouse-NKT-R5.hisat,WT3,iNKT,iNKT
mouse-NKT-R7.hisat,mouse-NKT-R7.hisat,WT4,iNKT,iNKT
mouse-NKT-R9.hisat,mouse-NKT-R9.hisat,WT5,iNKT,iNKT