,CD4 1,CD4 2,CD4 3,CD4 4,CD4 5,CbirDN 1,CbirDN 2,CbirDN 3,CbirDN 4,CbirDN 5,wtDN 1,wtDN 2,wtDN 3,wtDN 4,wtDN 5,,,mouse-NKT-R1.hisat,mouse-NKT-R3.hisat,mouse-NKT-R5.hisat,mouse-NKT-R7.hisat,mouse-NKT-R9.hisat
Ret,-2.357478589,-2.357478589,-2.357478589,-2.357478589,-2.357478589,-2.357478589,1.207693464,-2.357478589,1.502508801,1.258394436,1.326523544,-2.357478589,1.530202709,1.857938151,1.204667811,,,1.705195245,1.826910845,1.792208166,1.923864419,1.723721118
St3gal6,-2.407954987,-2.407954987,-2.407954987,-2.407954987,-2.407954987,-2.407954987,1.223360882,-2.407954987,1.13424622,1.106678643,1.604209262,1.117861787,1.279538145,1.255046313,1.422230856,,,1.233070209,0.996828242,1.222253805,1.670980841,1.589379702
Pigs,-2.830616188,-0.257274336,-2.830616188,-2.830616188,-2.830616188,1.333041984,1.000179642,1.034817155,1.198175666,1.58599222,1.158937633,0.473820789,-2.830616188,2.110838516,1.197866791,,,1.071811785,1.900241101,1.272469978,1.902778203,-2.830616188
Rbpms2,-2.557556431,-2.557556431,-2.557556431,-2.557556431,-2.557556431,1.67687714,1.467107812,1.707974149,1.445145976,1.543425282,1.220522254,-0.338489272,1.475159196,1.527352012,-2.557556431,,,1.264156266,1.839802555,1.486658117,1.587203533,-2.557556431
Blk,-2.818256169,-2.818256169,-2.818256169,-2.818256169,-2.818256169,1.016513327,1.018567534,1.386488922,-0.036614578,-2.818256169,1.295879263,1.158272527,1.522951421,0.829647029,1.539816258,,,1.233199324,1.628248601,1.259284511,1.758185703,1.29909717
Ppp1r14c,-2.474070703,-2.474070703,-2.474070703,-2.474070703,-2.474070703,0.992438908,0.891930528,1.193152025,0.880640732,-2.474070703,1.050982681,1.26336996,1.167103127,0.913175656,0.77013911,,,1.152925001,0.870118293,1.281936741,1.26379912,1.152712338
Zbtb16,-2.88226029,-2.88226029,-2.88226029,-2.88226029,-2.88226029,1.277418105,1.60079013,0.859702031,1.419647848,-2.88226029,1.540259998,1.195914884,1.033127509,1.055738127,1.163142621,,,1.295511391,1.116681883,1.222520706,0.723266127,1.78984038
Ramp1,-3.746298525,-3.746298525,-3.746298525,-3.746298525,-3.746298525,1.013517063,1.266441445,1.377346708,1.744444095,1.321270791,1.114880364,1.577810836,1.374970839,1.072020748,0.958182477,,,1.503824734,1.370484849,0.660101274,1.057667573,1.31852883
Wls,-2.795302423,-2.795302423,-2.795302423,-2.795302423,-2.795302423,0.557432631,0.941494294,1.025424714,1.034434397,0.955146028,1.057909078,1.05494893,0.843774935,1.148409895,1.004420719,,,0.988555304,0.836547299,1.086369312,1.114904662,0.326739916
Plxdc2,-2.567045424,-2.567045424,-2.567045424,-2.567045424,-2.567045424,1.264549378,1.68996528,1.171713313,1.740434102,1.371665765,-2.567045424,1.155900856,-2.567045424,1.092944503,1.084830892,,,1.444163753,1.279166265,1.500386469,1.71902559,1.454571803
Il23r,-3.010911146,-3.010911146,-3.010911146,0.403933257,-3.010911146,0.612524567,0.872885462,0.948485587,0.779217309,0.85654163,0.578443936,0.576023126,0.997165626,0.81200281,0.778110105,,,0.893926379,0.624347854,0.668882569,0.972580214,0.668574155
Tmem176a,-1.228744885,-0.913735432,-0.854966856,-1.059936268,-3.804795154,0.521361161,0.867139744,1.198597384,0.942285948,0.591387615,0.575835131,0.341997435,0.097921653,0.740168819,0.250929115,,,0.268341392,1.17807817,0.198503401,0.061430529,0.028201099
Tmem176b,-1.729794353,-1.826874729,-0.969578216,-0.95109442,-1.872452932,0.709441274,0.707307422,0.764311152,1.058132517,-0.016892777,0.368097571,0.504554233,0.295683719,-0.273175806,0.215302457,,,0.585110213,0.739196617,0.314246667,1.108503264,0.269976128
Hk2,-0.595917409,-0.461001689,-3.72213653,-3.72213653,-0.614853155,0.931006941,1.058001154,0.500056098,0.910077582,0.326968617,0.10042605,0.898230204,0.21849701,0.837557998,0.337745601,,,0.341187236,0.348185869,0.468223632,0.811687262,1.028194058
Gtf2b,-2.350417192,-2.350417192,-2.350417192,-2.350417192,-2.350417192,1.580454865,0.398565387,0.672588493,1.382524019,1.457635228,1.47836627,1.228406864,-2.350417192,1.206073762,-2.350417192,,,1.411085842,1.169861178,1.275980759,1.535779822,1.655597857
Ly6g5b,-2.92500602,-2.92500602,-2.92500602,-2.92500602,-2.92500602,1.260905857,1.337544475,1.356715662,1.308992022,1.176736725,1.317589136,1.674285448,1.246731002,1.382978211,-2.92500602,,,1.301503486,0.98996,1.010827206,1.21184504,0.97342185
Polr2i,-2.37362011,-2.37362011,-2.37362011,-2.37362011,0.329420399,-2.37362011,1.160818972,1.413875737,1.281375037,1.381230296,1.056241866,1.488813181,-2.37362011,1.440090833,1.408460111,,,1.543311535,1.331953337,1.378546479,-2.37362011,1.401202987
H2-M3,-2.388469257,-2.388469257,-2.388469257,-2.388469257,-2.388469257,1.368755173,1.754808158,1.837660927,1.525127745,1.707511727,1.759591957,1.640281645,1.464324226,1.574128754,1.441301854,,,1.498856508,-2.388469257,1.535405378,-2.388469257,-2.388469257
Golt1b,-2.125418797,-2.125418797,-2.125418797,-2.125418797,-2.125418797,1.373560844,1.28008712,1.524078017,1.308051977,1.381754373,1.545869854,1.627503564,1.544538842,1.299874087,1.547932471,,,1.243431543,-2.125418797,1.32666768,-2.125418797,-2.125418797
Cryba4,-2.488324524,-2.488324524,-2.488324524,-2.488324524,-2.488324524,1.394454129,1.270894305,1.374346472,1.237440668,1.436991043,1.309939537,1.115226335,1.422533174,1.21976537,-2.488324524,,,1.431877438,1.373375013,1.390543493,-2.488324524,1.44088469
Rorc,-2.908946955,-2.908946955,-2.908946955,-2.908946955,-2.908946955,0.95246244,1.224080687,0.942592586,1.201227351,1.39069936,1.541247881,1.127096937,1.730475699,0.655749664,1.089457652,,,1.469903046,1.305509326,1.382339611,-2.908946955,1.440839493
Scpep1,-0.527738321,-2.448211621,-2.448211621,-2.448211621,-2.448211621,1.535326413,1.455284289,1.301831311,-2.448211621,1.478398519,1.43116864,1.363774097,1.529939316,-2.448211621,1.724740434,,,1.533235422,-2.448211621,1.377102369,1.579635426,1.354783432
Ern1,-3.624169382,-0.089525013,0.610917956,0.16622524,0.248954011,0.708401277,0.521955399,0.636639416,-0.118512246,0.867576292,0.127907142,0.436069382,0.263338356,-0.259370993,0.462126804,,,0.193702163,0.350978427,0.077815473,0.94821562,-2.529245324
Gpr65,0.246506137,0.042166161,0.221036452,0.446127057,-3.514916179,0.511445759,0.346386962,0.405099012,0.409457871,0.385871069,0.236171491,0.297069538,0.109289668,0.267981593,0.132151307,,,0.447738581,0.145234756,0.399830733,-0.436648357,-1.097999613
Bhlhe40,-1.449815093,-0.236822557,0.349380102,0.283781701,0.278500309,0.506297576,0.717646969,0.896508489,0.480285164,0.643815775,0.051979202,0.27631947,0.435057086,0.128909129,-0.427760251,,,-0.127380929,-0.769172275,0.031275299,-0.974328823,-1.094476342
Cdkn1a,0.164043131,-0.840290838,-1.194197919,0.054384493,-0.274723571,0.883699178,1.077015013,0.787745288,0.93037327,0.451594478,0.008216383,0.291608658,-0.561238507,0.415737078,-0.774092415,,,-0.285762026,0.271481299,-0.505608787,-0.530494579,-0.369489628
Atf3,-0.228300927,-0.416528559,0.246984154,0.449716618,-0.546405971,-0.140829842,-0.208293763,-0.253220107,0.627480511,0.217421766,-0.517565942,0.155899475,-0.051296355,0.199100404,-0.226597324,,,-0.02902597,-0.08163835,-0.461823552,0.445480519,0.819443214
Ifngr1,-0.101052513,0.277340346,-0.07164867,0.490773232,0.516987862,-0.238279343,-0.052875488,0.005531173,-0.248326229,-0.526699863,0.284234268,0.116678347,0.168780076,-0.070317542,0.1292835,,,0.023252165,-0.08809496,-0.178666904,-0.167195085,-0.269704374
Id2,-0.15593252,-0.562410522,-0.1407141,-0.125008274,0.428576913,0.403248334,-0.072049233,0.075241588,0.1384124,-0.06070857,-0.247622169,0.710398461,-0.15565074,-0.185500392,-0.033087055,,,0.105215191,0.485962411,0.059567796,-0.397906959,-0.270032559
Krtcap2,-0.163977097,-0.35976597,-0.056305992,-0.353050853,-0.166879019,0.175699198,0.110459702,0.196197773,0.408331713,0.080105166,0.039471806,0.333662643,0.167148997,0.107332181,-0.034116982,,,-0.224096189,-0.1060557,-0.046555982,-0.154302031,0.046696638
S100a4,-0.449803352,-0.639355088,-0.498131926,-0.337823621,-0.149782953,0.096888171,0.228162048,0.370835028,0.369269395,0.535196774,0.093156341,0.054417495,0.105368174,-0.054673912,-0.068858073,,,0.036819369,0.161439048,0.364833521,-0.037465355,-0.180491083
Rora,0.005214661,-0.688410531,-0.662149698,-1.058015854,0.519450265,-0.522174486,0.205331386,0.234216142,0.068584763,-0.167575399,0.746587977,0.18133281,0.045628712,-0.12607074,0.364074762,,,0.326845013,-0.504907118,0.66303945,0.272425439,0.096572446
Psap,-0.59778791,-0.698884468,-0.493819279,-0.986990281,-1.231531787,0.116130944,0.730275681,0.094324606,0.94902506,0.121450048,0.131299628,0.270924181,0.249483201,0.320002214,-0.130800915,,,0.487445529,0.068105116,0.034030521,-0.084092035,0.651409946
Il2rb,-0.849515304,-0.746355231,-0.715016545,-0.964425517,-0.253549753,0.038191178,0.808164054,0.003702535,-0.055293383,-0.047441002,0.377040162,0.595350195,0.065484139,0.545325521,0.239934236,,,0.804412721,0.639545552,0.078128719,0.024592235,-0.588274511
Lmo4,-0.735584318,-0.653933923,-0.500458516,-0.495072884,-0.510850361,0.622972312,0.419395172,0.514856829,0.044996398,0.156835224,0.056310822,-0.015607226,-0.130561986,-0.345935341,-0.088000998,,,0.562376672,0.559350661,0.272616055,0.232985234,0.033310172
Smad7,-1.884454741,2.034983974,1.635801843,-1.884454741,2.111210366,-1.202973424,-1.884454741,-1.884454741,1.880959238,-1.884454741,1.712790142,1.42225952,1.521019998,-1.884454741,2.061629344,,,-1.884454741,1.811446377,1.97096529,-1.884454741,-1.884454741
Pde4d,2.26232923,1.935272457,2.466073551,1.981001258,-1.765737532,-1.765737532,-1.765737532,2.194736154,-1.072846528,-1.765737532,-1.765737532,-1.765737532,1.735608331,2.005174988,-1.765737532,,,2.078752155,-1.765737532,2.071273721,-1.765737532,-1.765737532
Blmh,1.722529271,-1.976729157,1.19049443,-1.976729157,-1.976729157,1.686766314,-1.976729157,-1.976729157,1.515887103,1.693455161,1.805179216,-1.976729157,1.737068362,1.697570571,-1.976729157,,,1.7143224,-1.976729157,-1.976729157,1.296065387,1.731224197